genre,count
psychedelic hip hop,93
witch house,9
indie electronica,2
italian electronica,2
latintronica,5
pop electronico,3
puglia indie,2
chillstep,58
substep,13
laboratorio,4
hauntology,5
baltimore indie,25
folktronica,25
indie r&b,96
swedish alternative rock,21
skweee,1
indie jazz,50
contemporary jazz,24
modern jazz piano,10
downtempo bass,3
bitpop,34
digital hardcore,31
nintendocore,36
future bass,89
gaming edm,113
microhouse,45
lds youth,23
ska mexicano,25
pop folk,9
stomp and flutter,22
albuquerque indie,30
alternative americana,29
chamber psych,41
cleveland indie,15
popgaze,8
thrash core,2
quebec indie,38
idaho indie,6
charlotte nc indie,6
asbury park indie,37
minneapolis indie,12
psychedelic pop,8
dark post-punk,2
garage psych,48
doomgaze,7
gaian doom,3
greek indie,1
shimmer psych,26
anthem emo,72
anthem worship,265
christian pop,111
worship,613
world worship,388
cedm,12
indiecoustica,296
latin alternative,98
oklahoma country,118
kansas city hip hop,17
southampton indie,5
deep new americana,123
mashup,32
progressive bluegrass,94
swedish americana,49
swedish singer-songwriter,59
north carolina indie,29
north carolina roots,34
canadian americana,7
saskatchewan indie,3
swedish indie folk,14
abstract beats,8
british singer-songwriter,54
dmv rap,62
viral rap,52
tejano,141
gymcore,19
post-screamo,115
boston metal,6
melodic metalcore,202
christian rock,220
groove metal,51
bass trap,89
chill pop,12
new french touch,93
brazilian edm,5
austin americana,14
bluegrass,60
duluth indie,9
kentucky roots,3
nashville singer-songwriter,8
latinx alternative,2
tropical alternativo,4
christian indie,95
desert blues,2
griot,6
musique peule,1
plugg,16
cincinnati rap,1
denton tx indie,42
indie psych-pop,37
vancouver indie,17
vancouver punk,9
folk punk,47
long island punk,21
buffalo ny indie,3
commons,1
norwegian hip hop,2
rebel blues,8
canadian ccm,59
christian punk,51
c-pop,32
chinese audiophile,1
chinese indie,1
chinese jazz,1
taiwan singer-songwriter,2
omaha indie,25
rhode island indie,9
acoustic blues,4
appalachian folk,58
country blues,5
delta blues,3
traditional folk,49
ny roots,1
acoustic rock,29
rumba,17
iowa indie,1
latin jazz,54
musica tradicional cubana,42
bossa nova,39
chinese electropop,1
west coast trap,83
dubstep,57
afro dancehall,10
african gospel,1
rumba congolaise,1
soukous,2
sierra leonean pop,1
amapiano,1
south african hip hop,10
south african trap,1
ghanaian pop,1
bongo flava,4
tanzanian pop,1
modern old-time,5
old-time,49
fake,5
roots worship,95
uk worship,9
christian hip hop,142
christian trap,81
atlanta indie,18
edmonton indie,43
french psychedelic,7
praise,24
contemporary gospel,41
naija worship,11
channel pop,17
futuristic swag,31
jersey club,5
dutch hip hop,4
ann arbor indie,10
mgp,1
gainesville indie,3
south carolina indie,10
deep southern trap,27
pony,8
italian disco,5
underground rap,21
old school rap francais,1
south african alternative,12
indie dream pop,21
rome indie,1
dark wave,10
outsider,3
danish electropop,5
japanese old school hip hop,2
disney,102
french movie tunes,1
modern hard rock,23
"""childrens music""",23
epicore,12
"""canadian childrens music""",1
"""childrens folk""",1
desi pop,22
modern bollywood,15
pokemon,2
italian soundtrack,2
vintage italian soundtrack,2
eurobeat,1
deep pop edm,1
belgian modern jazz,1
boston hip hop,16
indy indie,16
eau claire indie,33
